english_command,korean_command,intent,target_type,attribute,spatial_relation,spatial_reference,position,jsonl,split
open icon below the search,검색 아래에 아이콘 열기,open,icon,NONE,below,search,NONE,"{""text"": ""open icon below the search"", ""labels"": {""intent"": ""open"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
trash blue picture over the search,search 위에 blue image,delete,image,blue,above,search,NONE,"{""text"": ""trash blue picture over the search"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""blue"", ""spatial_relation"": ""above"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
scroll down to menu above the settings,settings 상단에  menu,scroll,menu,NONE,above,settings,NONE,"{""text"": ""scroll down to menu above the settings"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",val
paste text next to the last item,마지막 항목 옆에 텍스트 붙여넣기,paste,text,NONE,next_to,last item,NONE,"{""text"": ""paste text next to the last item"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",train
press switch,스위치 press,click,switch,NONE,NONE,NONE,NONE,"{""text"": ""press switch"", ""labels"": {""intent"": ""click"", ""target_type"": ""switch"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
insert gray label under the search,search 하단에 gray text,paste,text,gray,below,search,NONE,"{""text"": ""insert gray label under the search"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""gray"", ""spatial_relation"": ""below"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
trash image,이미지 삭제,delete,image,NONE,NONE,NONE,NONE,"{""text"": ""trash image"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",val
place text field on the left of the address,address 왼쪽에  text,paste,text,NONE,left_of,address,NONE,"{""text"": ""place text field on the left of the address"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",train
delete button next to the settings,설정 옆에 버튼 삭제,delete,button,NONE,next_to,settings,NONE,"{""text"": ""delete button next to the settings"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
launch the 1st link above the last item,마지막 항목 위에 1번째 링크 실행,open,link,NONE,above,last item,1st,"{""text"": ""launch the 1st link above the last item"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""last item"", ""position"": ""1st""}}",train
open red tab,빨간색 탭 열기,open,tab,red,NONE,NONE,NONE,"{""text"": ""open red tab"", ""labels"": {""intent"": ""open"", ""target_type"": ""tab"", ""attribute"": ""red"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
tap on btn on top of the settings,설정 상단에 버튼 클릭,click,button,NONE,above,settings,NONE,"{""text"": ""tap on btn on top of the settings"", ""labels"": {""intent"": ""click"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",val
open red link above the address,주소 위에 빨간색 링크 열기,open,link,red,above,address,NONE,"{""text"": ""open red link above the address"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""red"", ""spatial_relation"": ""above"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",train
long-press the 2nd button,2번째 버튼 long-press,long-press,button,NONE,NONE,NONE,2nd,"{""text"": ""long-press the 2nd button"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""2nd""}}",test
delete green button next to the first email,첫 번째 이메일 옆에 녹색 버튼 삭제,delete,button,green,next_to,first email,NONE,"{""text"": ""delete green button next to the first email"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""green"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
launch yellow link to the left of the help,도움말 왼쪽에 노란색 링크 실행,open,link,yellow,left_of,help,NONE,"{""text"": ""launch yellow link to the left of the help"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""yellow"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",train
tap red link above the settings,설정 위에 빨간색 링크 탭,tap,link,red,above,settings,NONE,"{""text"": ""tap red link above the settings"", ""labels"": {""intent"": ""tap"", ""target_type"": ""link"", ""attribute"": ""red"", ""spatial_relation"": ""above"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",test
paste text next to the help,도움말 옆에 텍스트 붙여넣기,paste,text,NONE,next_to,help,NONE,"{""text"": ""paste text next to the help"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",train
insert label left of the address,주소 좌측에 텍스트 붙여넣기,paste,text,NONE,left_of,address,NONE,"{""text"": ""insert label left of the address"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",test
copy green text,녹색 텍스트 복사,copy,text,green,NONE,NONE,NONE,"{""text"": ""copy green text"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""green"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
paste yellow text to the left of the payment,결제 왼쪽에 노란색 텍스트 붙여넣기,paste,text,yellow,left_of,payment,NONE,"{""text"": ""paste yellow text to the left of the payment"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""yellow"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",train
launch menu to the left of the home,홈 왼쪽에 메뉴 실행,open,menu,NONE,left_of,home,NONE,"{""text"": ""launch menu to the left of the home"", ""labels"": {""intent"": ""open"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",test
tap on toggle left of the home,홈 좌측에 스위치 클릭,click,switch,NONE,left_of,home,NONE,"{""text"": ""tap on toggle left of the home"", ""labels"": {""intent"": ""click"", ""target_type"": ""switch"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",test
tap on yellow tab,노란색 탭 탭,tap,tab,yellow,NONE,NONE,NONE,"{""text"": ""tap on yellow tab"", ""labels"": {""intent"": ""tap"", ""target_type"": ""tab"", ""attribute"": ""yellow"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
tap link above the first email,첫 번째 이메일 위에 링크 탭,tap,link,NONE,above,first email,NONE,"{""text"": ""tap link above the first email"", ""labels"": {""intent"": ""tap"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",val
tap the last switch below the wi-fi,Wi-Fi 아래에 마지막 스위치 탭,tap,switch,NONE,below,wi-fi,last,"{""text"": ""tap the last switch below the wi-fi"", ""labels"": {""intent"": ""tap"", ""target_type"": ""switch"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""wi-fi"", ""position"": ""last""}}",train
press and hold button,버튼 길게 누르기,long-press,button,NONE,NONE,NONE,NONE,"{""text"": ""press and hold button"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
launch tab to the right of the profile,프로필 오른쪽에 탭 실행,open,tab,NONE,right_of,profile,NONE,"{""text"": ""launch tab to the right of the profile"", ""labels"": {""intent"": ""open"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",train
trash image next to the profile,프로필 옆에 이미지 삭제,delete,image,NONE,next_to,profile,NONE,"{""text"": ""trash image next to the profile"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",test
tap the 3rd button to the left of the wi-fi,Wi-Fi 왼쪽에 3번째 버튼 탭,tap,button,NONE,left_of,wi-fi,3rd,"{""text"": ""tap the 3rd button to the left of the wi-fi"", ""labels"": {""intent"": ""tap"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""wi-fi"", ""position"": ""3rd""}}",train
duplicate pink label left of the settings,설정 좌측에 분홍색 텍스트 복사,copy,text,pink,left_of,settings,NONE,"{""text"": ""duplicate pink label left of the settings"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""pink"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
paste text,텍스트 붙여넣기,paste,text,NONE,NONE,NONE,NONE,"{""text"": ""paste text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
scroll to text,스크롤하여 텍스트 이동,scroll,text,NONE,NONE,NONE,NONE,"{""text"": ""scroll to text"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
paste text to the left of the notifications,알림 왼쪽에 텍스트 붙여넣기,paste,text,NONE,left_of,notifications,NONE,"{""text"": ""paste text to the left of the notifications"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",val
select icon above the first email,첫 번째 이메일 위에 아이콘 선택,click,icon,NONE,above,first email,NONE,"{""text"": ""select icon above the first email"", ""labels"": {""intent"": ""click"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
copy gray text,회색 텍스트 복사,copy,text,gray,NONE,NONE,NONE,"{""text"": ""copy gray text"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""gray"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
delete btn left of the help,도움말 좌측에 버튼 삭제,delete,button,NONE,left_of,help,NONE,"{""text"": ""delete btn left of the help"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",train
press the 2nd image below the notifications,알림 아래에 2번째 이미지 press,click,image,NONE,below,notifications,2nd,"{""text"": ""press the 2nd image below the notifications"", ""labels"": {""intent"": ""click"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""notifications"", ""position"": ""2nd""}}",test
copy green text,녹색 텍스트 복사,copy,text,green,NONE,NONE,NONE,"{""text"": ""copy green text"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""green"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
copy the last orange text to the left of the login,로그인 왼쪽에 마지막 주황색 텍스트 복사,copy,text,orange,left_of,login,last,"{""text"": ""copy the last orange text to the left of the login"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""orange"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""login"", ""position"": ""last""}}",train
paste pink text above the last item,마지막 항목 위에 분홍색 텍스트 붙여넣기,paste,text,pink,above,last item,NONE,"{""text"": ""paste pink text above the last item"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""pink"", ""spatial_relation"": ""above"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",test
select icon next to the cart,장바구니 옆에 아이콘 선택,click,icon,NONE,next_to,cart,NONE,"{""text"": ""select icon next to the cart"", ""labels"": {""intent"": ""click"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",train
insert green label on top of the home,홈 상단에 녹색 텍스트 붙여넣기,paste,text,green,above,home,NONE,"{""text"": ""insert green label on top of the home"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""green"", ""spatial_relation"": ""above"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",test
launch third menu below the checkout,checkout 아래쪽에  menu,open,menu,NONE,below,checkout,3rd,"{""text"": ""launch third menu below the checkout"", ""labels"": {""intent"": ""open"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""checkout"", ""position"": ""3rd""}}",test
