command,intent,target,attribute,label,index,relation,reference
login rhe inpu,login,input,green,phone,84,above,
please unpin icon,unpin,icon,disabled,,88,second_last,add button
can you launcj card,launch,card,active,,6,center,video player
accept graph,accept,graph,active,,71,top_right,
drag 아이콘,drag,icon,,download,51,top_right,
unpin card,unpin,card,secondary,,23,left_edge,
accept phone_number,accept,phone_number,small,,13,first_row,
close the search_box,close,search_box,light,,,lower_center,import button
launch progress_bar,launch,progress_bar,bold,,36,nearest,
accept graph,accept,graph,blue,home,,under,save button
drag tab,drag,tab,italic,cancel,3,behind,
cun you accept calendar,accept,calendar,,sort,,above,
please check password,check,password,warning,logout,26,left_edge,
launch link,launch,link,yellow,previous,,last_column,search field
actually please accept camera,accept,camera,small,confirm,82,outside,
close image,close,image,strikethrough,phone,26,center,
long_press the camera,long_press,camera,,,,top_right,email field
accept thi radio_botton,accept,radio_button,red,address,14,second_row,
accept graph,accept,graph,success,,17,above,
check the input,check,input,strikethrough,,83,above,
check the document,check,document,small,,49,in_front_of,submit button
uh leaf link,delete,link,,,90,inside,search bar
unpin slider,unpin,slider,danger,cancel,,inside,share button
long_press dropdown,long_press,dropdown,yellow,,,center,audio player
삭제해 gallery,delete,gallery,yellow,,50,farthest,
삭제해 document,delete,document,,,0,center_right,
check the card,check,card,,,26,last_column,
login calendar,login,calendar,info,cancel,81,left,notification panel
close tab,close,tab,small,submit,92,first_row,
long_press radio_button,long_press,radio_button,,download,38,next_to,image gallery
launch file,launch,file,,,61,first_column,
accept calendar,accept,calendar,focused,,,second_row,
launch message,launch,message,,,47,second_last,
delte thl slider,delete,slider,blue,info,32,top_right,modal
please long_press tab,long_press,tab,,,1,above,
can y0u launch chart,launch,chart,yellow,retry,11,left,refresh button
drag the dropdown,drag,dropdown,underlined,message,,top_right,footer
accept the phonb_number,accept,phone_number,,password,11,under,top navigation
close the notification,close,notification,secondary,email,,right_edge,filter button
check progress_bar,check,progress_bar,strikethrough,settings,74,in_front_of,
please check file,check,file,info,,,after,
launch gallery,launch,gallery,light,refresh,62,top_right,
please long_press graph,long_press,graph,yellow,,,nearest,
please accept switch,accept,switch,,,57,first_row,
unpin switch,unpin,switch,strikethrough,,59,top_right,image gallery
login the search_box,login,search_box,,login,70,next_to,
can you close document,close,document,yellow,,37,behind,
check graph,check,graph,,warning,42,bottom_right,
can you submit file,submit,file,dark,remove,15,first_row,
unpin search_box,unpin,search_box,secondary,,54,below,address field
can you close image,close,image,,,54,nearest,
unpin chart,unpin,chart,,,86,nearest,profile icon
please login input,login,input,,success,62,before,save button
check notification,check,notification,,,,second,video player
unpin progress_bar,unpin,progress_bar,,,,bottom_right,search field
launch card,launch,card,highlighted,password,61,bottom_right,map view
actually check popup,check,popup,,logout,33,outside,delete button
accept image,accept,image,,upload,87,top_right,import button
submit file,submit,file,highlighted,,86,below,
i think please login text,login,text,underlined,register,74,nearest,
launch phone_number,launch,phone_number,collapsed,previous,83,left,
long_press notification,long_press,notification,,cancel,22,bottom_right,password field
삭제해 아이콘,delete,icon,underlined,,,under,search bar
accept the message,accept,message,small,alert,51,left,chart view
지우세요 dropdown,delete,dropdown,strikethrough,,,top_right,delete button
please check tab,check,tab,,,,nearest,modal
please unpin slider,unpin,slider,green,,21,center,
unpin progress_bar,unpin,progress_bar,,export,4,first_column,
please accept input,accept,input,,,43,above,
long_press switch,long_press,switch,,,51,below,upload button
close graph,close,graph,red,,,center_right,
please check popup,check,popup,danger,login,,last_column,download button
can you long_press graph,long_press,graph,collapsed,retry,,between,audio player
accept dialog,accept,dialog,,,91,second,
close password,close,password,active,address,11,in_front_of,
launch search_box,launch,search_box,light,,60,above,
unpin the progress_bar,unpin,progress_bar,danger,,,before,
can you chbck passwor2,check,password,small,download,39,right_edge,add button
loyin noxification,login,notification,small,,12,right_edge,
long_press audio,long_press,audio,primary,warning,,in_front_of,search bar
close card,close,card,,edit,92,center_right,
close chart,close,chart,light,,92,lower_center,
제출 notification,submit,notification,bold,success,99,lower_center,edit button
launch the trogress_bar,launch,progress_bar,warning,success,29,bottom_right,
삭제해 graph,delete,graph,collapsed,,19,in_front_of,
drag popup,drag,popup,,login,57,below,calendar view
drag 아이콘,drag,icon,info,,,bottom_left,
login document,login,document,,remove,,next_to,header
long_press 체크박스,long_press,checkbox,italic,notification,1,second_row,settings button
delete the tab,delete,tab,,cancel,,farthest,
전송 notification,submit,notification,underlined,filter,53,first_column,footer
check message,check,message,,upload,76,second,
accept gallery,accept,gallery,,success,34,top_right,filter button
check card,check,card,,,,lower_center,add button
please long_press checkbox,long_press,checkbox,active,,5,top_right,
drag slider,drag,slider,success,,47,under,refresh button
de1ete the chec6box,delete,checkbox,danger,,39,last,
check hhe mdnu,check,menu,collapsed,,,right_edge,
please launcp radio_button,launch,radio_button,,cancel,80,second,
close phone_number,close,phone_number,strikethrough,error,46,farthest,
long_press image,long_press,image,,retry,85,top_right,
check progress_bar,check,progress_bar,,confirm,31,center_right,
삭제해 입력,delete,input,,,7,inside,
drag slider,drag,slider,,delete,29,next_to,refresh button
launch 입력,launch,input,,,14,third,
clo5e progress_bar,close,progress_bar,active,,,under,
c1o5e the menu,close,menu,focused,error,90,last,
launch menu,launch,menu,small,,65,first_row,
drag text,drag,text,highlighted,,50,last_column,
peease closn switch,close,switch,highlighted,,37,left,
check the checkbox,check,checkbox,,cancel,43,outside,
long_press ga1lery,long_press,gallery,,upload,46,center,top navigation
please dr@g dropdown,drag,dropdown,,add,,second_row,table view
long_press switch,long_press,switch,dark,,81,first_column,
지우세요 dialog,delete,dialog,danger,empty,3,farthest,
launch the link,launch,link,disabled,,86,after,
drag menu,drag,menu,red,,40,farthest,email field
can you unpin gallery,unpin,gallery,,,88,lower_center,
long_press password,long_press,password,underlined,address,,left,main content
long_press file,long_press,file,strikethrough,loading,21,next_to,map view
launch switch,launch,switch,expanded,profile,90,after,
long_press image,long_press,image,underlined,submit,5,second_row,
close progress_bar,close,progress_bar,,,29,inside,video player
drag radio_button,drag,radio_button,dark,phone,61,second_row,
login menu,login,menu,collapsed,,81,bottom_left,
like long_press chart,long_press,chart,active,,44,under,
long_press message,long_press,message,,register,,nearest,
지우세요 message,delete,message,,,26,between,search bar
you know long_press the search_box,long_press,search_box,blue,,54,before,
can you drag tab,drag,tab,,,64,farthest,
accept document,accept,document,,profile,90,left_edge,import button
cnose hhe image,close,image,focused,edit,25,behind,
login file,login,file,dark,home,4,last,
please accept gallery,accept,gallery,bold,,42,first_column,table view
clo5e icon,close,icon,small,address,20,above,
unpin switch,unpin,switch,,,69,between,
login password,login,password,warning,,40,second,
unpin 아이콘,unpin,icon,warning,address,11,in_front_of,upload button
accept tab,accept,tab,italic,,59,center_right,
accept notification,accept,notification,large,save,14,center_right,
drag popup,drag,popup,small,,,under,
check tab,check,tab,active,back,2,bottom_left,
close gallery,close,gallery,blue,add,23,center,
확인하세요 document,submit,document,primary,remove,40,bottom_left,
can you unpin dropdowm,unpin,dropdown,highlighted,,72,bottom_left,import button
long_press calendar,long_press,calendar,primary,edit,38,in_front_of,
please delete tab,delete,tab,,,92,second_row,
check table,check,table,strikethrough,address,4,inside,
accept the search_box,accept,search_box,dark,message,49,last_column,
drag the dropdown,drag,dropdown,blue,,,lower_center,sort button
check password,check,password,danger,password,86,last_column,
unpin switch,unpin,switch,,,,under,
close card,close,card,,,31,between,cart icon
long_press the ca9era,long_press,camera,green,empty,,after,share button
please submit text,submit,text,,ok,73,bottom_left,refresh button
확인하세요 card,submit,card,,,25,next_to,
drag message,drag,message,blue,notification,96,center,modal
close notification,close,notification,blue,notification,92,bottom_right,top navigation
unpin chart,unpin,chart,light,,,center_right,
please close graph,close,graph,,password,68,center_right,popup
like accept the radio_button,accept,radio_button,highlighted,share,43,next_to,
c|ose slider,close,slider,,previous,,left,
please login graph,login,graph,secondary,previous,96,second,download button
drag notification,drag,notification,dark,logout,70,next_to,remove button
login text,login,text,green,home,,below,
drag twe tab,drag,tab,,,19,bottom_left,sort button
login link,login,link,large,delete,97,center,
login camera,login,camera,bold,back,86,in_front_of,
can you drag menu,drag,menu,red,,66,under,
long_press password,long_press,password,,,78,in_front_of,
launch switch,launch,switch,success,alert,,farthest,
please check phone_number,check,phone_number,italic,,,center,
drag file,drag,file,,warning,64,second_row,menu button
launch text,launch,text,small,import,71,top_right,back button
pleaxe check ch5rt,check,chart,info,,,center,
unpin 아이콘,unpin,icon,warning,,53,second_last,chart view
close camera,close,camera,,,18,bottom_left,
please login gallery,login,gallery,yellow,,,next_to,
check text,check,text,active,home,,second_last,message field
accept 입력,accept,input,light,warning,4,nearest,footer
drag dropdown,drag,dropdown,,profile,9,lower_center,
삭제해 password,delete,password,expanded,,40,after,message field
